YEAR,MONTH,DAY,HOST,COUNTOFENTRIES
2021,1,1,RUP2103-2-A7240-1,1082
2021,1,1,10.44.76.109,88351
2021,1,1,10.44.60.17,935
2021,1,1,10.47.0.23,89009
2021,1,1,Aruba-MM-01,15777
2021,1,1,10.47.0.22,172872
2021,1,1,10.44.247.245,1036
2021,1,1,10.44.212.184,358
2021,1,1,10.47.0.33,112299
2021,1,1,10.45.2.65,9191
2021,1,1,10.44.124.29,251
2021,1,1,10.44.124.25,651
2021,1,1,10.44.192.115,23
2021,1,1,10.44.192.120,68320
2021,1,1,10.44.194.89,6103
2021,1,1,10.45.85.223,25699
2021,1,1,10.44.22.177,367
2021,1,1,10.44.125.30,553
2021,1,1,10.44.125.29,672
2021,1,1,10.44.30.189,5796
2021,1,1,10.45.85.241,8677
2021,1,1,AtkiG20-C5-A7240-1,1080
2021,1,1,10.45.65.172,155
2021,1,1,10.45.0.244,386
2021,1,1,10.44.84.247,8097
2021,1,1,10.44.84.237,7876
2021,1,1,10.44.84.245,6969
2021,1,1,10.44.76.121,20410
2021,1,1,10.44.84.242,4834
2021,1,1,10.44.134.153,4743
2021,1,1,10.44.84.238,5665
2021,1,1,10.45.78.60,632
2021,1,1,10.44.84.244,3532
2021,1,1,10.44.22.197,3329
2021,1,1,10.45.78.63,881
2021,1,1,10.44.28.23,6903
2021,1,1,10.44.64.109,192
2021,1,1,10.44.134.235,89
2021,1,1,10.47.0.32,26505
2021,1,1,10.45.0.212,1001
2021,1,1,10.44.6.57,10407
2021,1,1,10.44.208.218,110
2021,1,1,10.44.214.236,1192
2021,1,1,10.45.85.209,920
2021,1,1,10.45.2.74,124
2021,1,1,10.45.14.110,8982
2021,1,1,10.44.194.73,6166
2021,1,1,10.45.70.40,1607
2021,1,1,10.44.84.241,5649
2021,1,1,10.44.134.184,4712
2021,1,1,10.44.84.235,4386
2021,1,1,10.44.128.134,329
2021,1,1,10.44.84.246,4023
2021,1,1,10.44.6.54,1555
2021,1,1,10.44.132.163,150
2021,1,1,10.44.61.51,2942
2021,1,1,10.44.208.204,72
2021,1,1,10.44.72.173,3759
2021,1,1,10.45.67.97,177
2021,1,1,10.45.67.122,277
2021,1,1,10.44.194.84,451
2021,1,1,10.44.84.236,5186
2021,1,1,10.44.76.119,610
2021,1,1,10.44.194.72,172
2021,1,1,10.45.76.57,1460
2021,1,1,10.45.86.86,5243
2021,1,1,10.44.198.20,989
2021,1,1,10.45.76.55,2314
2021,1,1,10.44.20.52,3301
2021,1,1,10.44.62.56,1667
2021,1,1,10.44.194.75,295
2021,1,1,10.45.85.242,15015
2021,1,1,10.44.62.55,1311
2021,1,1,10.44.206.205,415
2021,1,1,10.44.84.239,5000
2021,1,1,10.44.84.233,511
2021,1,1,10.47.194.241,586
2021,1,1,10.44.125.26,2394
2021,1,1,10.44.84.240,3469
2021,1,1,10.45.74.234,1058
2021,1,1,10.45.88.241,191
2021,1,1,10.44.208.228,959
2021,1,1,10.44.28.25,1778
2021,1,1,10.45.88.223,391
2021,1,1,10.44.28.21,208
2021,1,1,10.44.76.104,7864
2021,1,1,10.45.83.33,511
2021,1,1,10.44.4.48,1682
2021,1,1,10.44.251.16,738
2021,1,1,10.44.20.58,1595
2021,1,1,10.44.28.24,839
2021,1,1,10.45.65.177,211
2021,1,1,10.44.76.106,2737
2021,1,1,10.44.24.169,2322
2021,1,1,10.45.8.164,261
2021,1,1,10.45.83.78,636
2021,1,1,10.44.80.228,667
2021,1,1,10.44.22.107,523
2021,1,1,10.44.22.104,167
2021,1,1,10.45.14.94,8
2021,1,1,10.44.125.27,518
2021,1,1,10.44.128.142,167
2021,1,1,10.44.22.199,292
2021,1,1,10.44.134.252,605
2021,1,1,10.44.76.124,1970
2021,1,1,10.44.136.226,619
2021,1,1,10.45.70.72,1021
2021,1,1,10.45.67.125,1278
2021,1,1,10.44.80.205,614
2021,1,1,10.44.6.69,438
2021,1,1,10.44.128.112,248
2021,1,1,10.44.6.50,1223
2021,1,1,10.44.204.34,33
2021,1,1,10.45.14.101,58
2021,1,1,10.44.72.201,679
2021,1,1,10.44.76.113,59
2021,1,1,10.45.14.99,430
2021,1,1,10.44.60.20,703
2021,1,1,10.44.134.234,44
2021,1,1,10.45.4.92,216
2021,1,1,10.45.2.108,599
2021,1,1,10.45.70.79,946
2021,1,1,10.44.249.39,41
2021,1,1,10.45.88.250,7
2021,1,1,10.45.88.251,7
2021,1,1,10.45.14.111,187
2021,1,1,10.44.74.30,588
2021,1,1,10.44.62.54,374
2021,1,1,10.44.204.39,1859
2021,1,1,10.44.10.231,511
2021,1,1,10.44.204.48,571
2021,1,1,10.44.134.196,56
2021,1,1,10.44.128.148,418
2021,1,1,10.44.198.25,528
2021,1,1,10.44.15.212,156
2021,1,1,10.44.64.106,7
2021,1,1,10.45.67.24,1250
2021,1,1,10.44.15.182,719
2021,1,1,10.44.210.227,620
2021,1,1,10.44.66.234,754
2021,1,1,10.44.210.244,231
2021,1,1,10.44.134.214,48
2021,1,1,10.44.26.107,324
2021,1,1,10.44.66.235,864
2021,1,1,10.45.83.169,761
2021,1,1,10.44.134.215,8
2021,1,1,10.44.6.59,1006
2021,1,1,10.44.134.226,116
2021,1,1,10.44.128.118,247
2021,1,1,10.44.192.107,903
2021,1,1,10.44.134.181,8
2021,1,1,10.44.130.214,418
2021,1,1,10.44.24.166,1357
2021,1,1,10.44.66.232,518
2021,1,1,10.44.72.197,336
2021,1,1,10.44.134.183,16
2021,1,1,10.44.76.112,120
2021,1,1,10.44.6.67,2481
2021,1,1,10.44.6.56,862
2021,1,1,10.44.134.201,20
2021,1,1,10.44.24.156,129
2021,1,1,10.44.78.174,169
2021,1,1,10.45.14.112,1879
2021,1,1,10.44.78.181,131
2021,1,1,10.44.134.247,16
2021,1,1,10.44.192.116,32
2021,1,1,10.45.14.104,275
2021,1,1,10.44.24.148,44
2021,1,1,10.44.18.140,1024
2021,1,1,10.44.194.57,228
2021,1,1,10.45.16.137,215
2021,1,1,10.44.26.146,462
2021,1,1,10.44.30.134,1386
2021,1,1,10.44.26.141,410
2021,1,1,10.44.26.102,153
2021,1,1,10.45.12.150,131
2021,1,1,10.44.78.147,113
2021,1,1,10.44.78.162,24
2021,1,1,10.44.26.116,129
2021,1,1,10.44.80.218,137
2021,1,1,10.44.136.227,288
2021,1,1,10.44.132.208,302
2021,1,1,10.44.70.70,299
2021,1,1,10.45.67.102,115
2021,1,1,10.44.130.189,16
2021,1,1,10.44.26.91,80
2021,1,1,10.45.12.184,165
2021,1,1,10.44.22.201,515
2021,1,1,10.45.85.200,122
2021,1,1,10.44.22.200,395
2021,1,1,10.44.128.171,292
2021,1,1,10.44.70.64,664
2021,1,1,10.44.121.30,529
2021,1,1,10.45.2.144,567
2021,1,1,10.44.20.55,292
2021,1,1,10.44.128.116,206
2021,1,1,10.45.2.93,302
2021,1,1,10.45.72.119,290
2021,1,1,10.44.255.29,554
2021,1,1,10.44.24.186,305
2021,1,1,10.44.24.179,129
2021,1,1,10.44.242.237,93
2021,1,1,10.44.242.248,126
2021,1,1,10.44.210.240,28
2021,1,1,10.44.204.44,715
2021,1,1,10.45.14.114,99
2021,1,1,10.45.14.96,175
2021,1,1,10.45.14.97,89
2021,1,1,10.44.190.23,461
2021,1,1,10.44.20.59,1551
2021,1,1,10.44.128.152,204
2021,1,1,10.44.80.227,193
2021,1,1,10.44.76.120,615
2021,1,1,10.45.88.231,544
2021,1,1,10.44.72.177,371
2021,1,1,10.44.78.145,86
2021,1,1,10.45.83.31,63
2021,1,1,10.45.83.168,124
2021,1,1,10.44.206.195,200
2021,1,1,10.45.83.95,147
2021,1,1,10.45.81.24,276
2021,1,1,10.44.134.242,40
2021,1,1,10.44.214.243,547
2021,1,1,10.44.60.19,124
2021,1,1,10.44.200.37,646
2021,1,1,10.45.6.132,48
2021,1,1,10.45.2.85,8
2021,1,1,10.45.2.138,29
2021,1,1,10.45.2.84,24
2021,1,1,10.45.2.47,28
2021,1,1,10.44.30.191,679
2021,1,1,10.45.2.122,40
2021,1,1,10.44.192.102,12
2021,1,1,10.44.192.125,4
2021,1,1,10.44.200.30,35
2021,1,1,10.44.20.57,949
2021,1,1,10.44.20.53,465
2021,1,1,10.44.26.134,475
2021,1,1,10.44.62.57,228
2021,1,1,10.44.57.18,292
2021,1,1,10.44.2.16,182
2021,1,1,10.44.74.26,106
2021,1,1,10.44.30.156,66
2021,1,1,10.44.22.89,155
2021,1,1,10.45.2.37,232
2021,1,1,10.44.130.179,43
2021,1,1,10.45.2.86,35
2021,1,1,10.44.4.50,338
2021,1,1,10.45.2.41,12
2021,1,1,10.44.194.100,174
2021,1,1,10.44.82.241,40
2021,1,1,10.44.82.243,1
2021,1,1,10.45.2.123,20
2021,1,1,10.44.6.52,196
2021,1,1,10.45.2.72,12
2021,1,1,10.45.16.57,233
2021,1,1,10.45.16.142,20
2021,1,1,10.45.16.67,8
2021,1,1,10.45.16.90,237
2021,1,1,10.45.8.179,205
2021,1,1,10.44.130.213,110
2021,1,1,10.45.8.177,218
2021,1,1,10.45.10.87,144
2021,1,1,10.44.247.230,12
2021,1,1,10.44.242.242,4
2021,1,1,10.44.132.173,142
2021,1,1,10.44.130.205,27
2021,1,1,10.44.132.192,24
2021,1,1,10.44.132.174,4
2021,1,1,10.44.132.200,16
2021,1,1,10.44.132.195,4
2021,1,1,10.44.54.39,25
2021,1,1,10.45.67.45,2005
2021,1,1,10.44.242.216,192
2021,1,1,10.44.204.35,18
2021,1,1,10.44.64.112,39
2021,1,1,10.44.212.218,348
2021,1,1,10.44.134.210,106
2021,1,1,10.45.65.174,99
2021,1,1,10.44.130.180,135
2021,1,1,10.45.0.237,55
2021,1,1,10.44.11.234,155
2021,1,1,10.45.12.135,118
2021,1,1,10.44.12.52,174
2021,1,1,10.44.132.194,8
2021,1,1,10.44.132.164,4
2021,1,1,10.44.15.152,738
2021,1,1,10.44.15.126,8
2021,1,1,10.44.130.212,20
2021,1,1,10.44.22.213,19
2021,1,1,10.44.18.122,240
2021,1,1,10.45.16.139,244
2021,1,1,10.44.208.207,334
2021,1,1,10.44.247.238,169
2021,1,1,10.45.65.178,163
2021,1,1,10.45.14.107,266
2021,1,1,10.45.85.169,150
2021,1,1,10.44.72.185,154
2021,1,1,10.45.65.176,69
2021,1,1,10.45.65.170,99
2021,1,1,10.45.85.192,235
2021,1,1,10.45.86.156,148
2021,1,1,10.45.86.199,157
2021,1,1,10.45.70.41,315
2021,1,1,10.45.8.204,48
2021,1,1,10.45.83.47,47
2021,1,1,10.44.198.27,278
2021,1,1,10.45.85.225,216
2021,1,1,10.45.86.113,127
2021,1,1,10.44.249.35,141
2021,1,1,10.44.249.37,27
2021,1,1,10.45.81.26,367
2021,1,1,10.45.81.35,147
2021,1,1,10.45.88.213,113
2021,1,1,10.44.198.21,248
2021,1,1,10.44.80.202,340
2021,1,1,10.44.28.20,163
2021,1,1,10.45.78.68,110
2021,1,1,10.45.78.69,45
2021,1,1,10.45.83.74,28
2021,1,1,10.45.83.148,91
2021,1,1,10.44.57.15,259
2021,1,1,10.44.78.132,258
2021,1,1,10.45.86.106,40
2021,1,1,10.45.86.130,311
2021,1,1,10.44.206.158,223
2021,1,1,10.45.83.123,12
2021,1,1,10.45.83.6,16
2021,1,1,10.45.83.160,8
2021,1,1,10.45.83.164,28
2021,1,1,10.45.83.104,64
2021,1,1,10.45.83.126,28
2021,1,1,10.44.194.50,80
2021,1,1,10.45.83.23,373
2021,1,1,10.44.247.234,179
2021,1,1,10.44.247.231,333
2021,1,1,10.44.198.26,12
2021,1,1,10.45.68.53,2669
2021,1,1,10.44.194.71,32
2021,1,1,10.44.196.93,117
2021,1,1,10.44.192.126,125
2021,1,1,10.44.192.106,6
2021,1,1,10.45.83.50,12
2021,1,1,10.45.85.232,44
2021,1,1,10.45.14.113,79
2021,1,1,10.45.88.240,288
2021,1,1,10.45.10.90,17
2021,1,1,10.44.60.15,392
2021,1,1,10.44.128.183,346
2021,1,1,10.44.24.196,63
2021,1,1,10.44.249.36,33
2021,1,1,10.44.212.169,40
2021,1,1,10.44.212.163,12
2021,1,1,10.44.76.101,95
2021,1,1,10.44.246.232,50
2021,1,1,10.44.242.244,39
2021,1,1,10.44.246.243,144
2021,1,1,10.45.2.202,124
2021,1,1,10.44.30.200,89
2021,1,1,10.44.200.36,12
2021,1,1,10.44.255.25,332
2021,1,1,10.44.204.59,45
2021,1,1,10.44.196.101,82
2021,1,1,10.44.212.199,701
2021,1,1,10.45.6.139,46
2021,1,1,10.45.16.146,16
2021,1,1,10.45.4.100,103
2021,1,1,10.45.2.54,96
2021,1,1,10.45.2.147,247
2021,1,1,10.44.24.181,100
2021,1,1,10.44.128.115,16
2021,1,1,10.44.60.16,315
2021,1,1,10.44.30.128,107
2021,1,1,10.44.30.186,624
2021,1,1,10.44.30.129,520
2021,1,1,10.44.30.179,13
2021,1,1,10.44.30.144,4
2021,1,1,10.44.30.188,29
2021,1,1,10.44.30.159,43
2021,1,1,10.44.30.176,60
2021,1,1,10.44.30.167,183
2021,1,1,10.44.30.195,3
2021,1,1,10.44.212.190,77
2021,1,1,10.45.81.22,193
2021,1,1,10.45.6.112,20
2021,1,1,10.45.6.136,34
2021,1,1,10.45.6.110,16
2021,1,1,10.45.6.118,32
2021,1,1,10.45.6.117,32
2021,1,1,10.44.64.108,13
2021,1,1,10.45.10.100,32
2021,1,1,10.45.10.98,12
2021,1,1,10.44.6.60,813
2021,1,1,10.44.128.168,84
2021,1,1,10.44.128.117,136
2021,1,1,10.44.190.20,172
2021,1,1,10.44.210.226,321
2021,1,1,10.44.24.133,236
2021,1,1,10.45.81.2,172
2021,1,1,10.45.86.173,182
2021,1,1,10.44.134.157,4
2021,1,1,10.45.14.91,78
2021,1,1,10.45.66.104,528
2021,1,1,10.45.66.150,1467
2021,1,1,10.44.15.206,7
2021,1,1,10.44.15.135,10
2021,1,1,10.44.214.232,80
2021,1,1,10.45.85.205,23
2021,1,1,10.45.83.32,154
2021,1,1,10.45.83.11,138
2021,1,1,10.44.70.65,354
2021,1,1,10.44.128.106,24
2021,1,1,10.45.86.95,20
2021,1,1,10.44.128.187,20
2021,1,1,10.44.128.159,8
2021,1,1,10.44.128.101,12
2021,1,1,10.44.128.103,32
